==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
1340,0.00000,0.00000,0.02856,1,0.00,0.19033
1345,0.00000,0.00000,-0.01428,1,0.00,-0.61051
1350,0.00000,0.00000,-0.02856,1,0.00,-0.65788
1355,0.00000,0.00000,0.00000,1,0.00,-0.00175
1360,0.00000,0.00000,0.00000,1,0.00,-0.56193
1365,0.00000,0.00000,-0.02856,1,0.00,-0.66550
1370,0.00000,0.00000,0.01428,1,0.00,0.13383
1375,0.00000,0.00000,0.01428,1,0.00,0.11411
1380,0.00000,0.00000,-0.01428,1,0.00,-0.61465
1385,0.00000,0.00000,0.00000,1,0.00,0.00055
1390,0.00000,0.00000,0.02856,1,0.00,0.19496
1395,0.00000,0.00000,0.00000,1,0.00,-0.55003
1400,0.00000,0.00000,-0.01428,1,0.00,-0.57534
1405,0.00000,0.00000,0.01428,1,0.00,0.14724
1410,0.00000,0.00000,0.01428,1,0.00,0.13634
1415,0.00000,0.00000,-0.02856,1,0.00,-0.65045
1420,0.00000,0.00000,0.00000,1,0.00,0.00483
1425,0.00000,0.00000,-0.01428,1,0.00,-0.61716
1430,0.00000,0.00000,-0.01428,1,0.00,-0.61413
1435,0.00000,0.00000,0.00000,1,0.00,-0.00025
1440,0.00000,0.00000,0.02856,1,0.00,0.19513
1445,0.00000,0.00000,0.00000,1,0.00,-0.55249
1450,0.00000,0.00000,-0.01428,1,0.00,-0.57936
1455,0.00000,0.00000,0.00000,1,0.00,0.09405
1460,0.00000,0.00000,0.00000,1,0.00,-0.55021
1465,0.00000,0.00000,-0.02856,1,0.00,-0.65505
1470,0.00000,0.00000,-0.01428,1,0.00,-0.57867
1475,0.00000,0.00000,0.01428,1,0.00,0.13722
1480,0.00000,0.00000,-0.01428,1,0.00,-0.58451
1485,0.00000,0.00000,-0.01428,1,0.00,-0.56800
1490,0.00000,0.00000,0.02856,1,0.00,0.20701
1495,0.00000,0.00000,0.01428,1,0.00,0.13371
1500,0.00000,0.00000,0.00000,1,0.00,0.09018
1505,0.00000,0.00000,0.01428,1,0.00,0.14112
1510,0.00000,0.00000,0.00000,1,0.00,-0.56387
1515,0.00000,0.00000,-0.02856,1,0.00,-0.67411
1520,0.00000,0.00000,0.00000,1,0.00,-0.00604
1525,0.00000,0.00000,0.00000,1,0.00,-0.57171
1530,0.00000,0.00000,-0.01428,1,0.00,-0.62092
1535,0.00000,0.00000,0.00000,1,0.00,-0.55571
1540,0.00000,0.00000,0.02856,1,0.00,0.18452
1545,0.00000,0.00000,-0.01428,1,0.00,-0.60219
1550,0.00000,0.00000,0.00000,1,0.00,0.10132
1555,0.00000,0.00000,0.01428,1,0.00,0.15697
1560,0.00000,0.00000,0.01428,1,0.00,0.13503
1565,0.00000,0.00000,-0.02856,1,0.00,-0.66215
1570,0.00000,0.00000,0.00000,1,0.00,0.00395
1575,0.00000,0.00000,0.00000,1,0.00,-0.00804
1580,0.00000,0.00000,-0.01428,1,0.00,-0.60971
1585,0.00000,0.00000,0.00000,1,0.00,0.09817
1590,0.00000,0.00000,0.02856,1,0.00,0.21458
1595,0.00000,0.00000,0.00000,1,0.00,0.00615
1600,0.00000,0.00000,-0.01428,1,0.00,-0.57032
1605,0.00000,0.00000,0.01428,1,0.00,0.16714
1610,0.00000,0.00000,0.01428,1,0.00,0.14365
1615,0.00000,0.00000,0.00000,1,0.00,0.00073
1620,0.00000,0.00000,-0.01428,1,0.00,-0.60130
1625,0.00000,0.00000,0.00000,1,0.00,-0.57043
1630,0.00000,0.00000,-0.01428,1,0.00,-0.62035
1635,0.00000,0.00000,0.00000,1,0.00,-0.00332
1640,0.00000,0.00000,0.02856,1,0.00,0.18963
1645,0.00000,0.00000,0.00000,1,0.00,-0.00418
1650,0.00000,0.00000,-0.01428,1,0.00,-0.57347
1655,0.00000,0.00000,0.01428,1,0.00,0.14802
1660,0.00000,0.00000,0.00000,1,0.00,-0.00076
1665,0.00000,0.00000,-0.02856,1,0.00,-0.65288
1670,0.00000,0.00000,0.00000,1,0.00,0.09314
1675,0.00000,0.00000,0.01428,1,0.00,0.12114
1680,0.00000,0.00000,-0.01428,1,0.00,-0.61205
1685,0.00000,0.00000,0.00000,1,0.00,-0.00030
1690,0.00000,0.00000,0.02856,1,0.00,0.19315
1695,0.00000,0.00000,0.01428,1,0.00,0.13404
1700,0.00000,0.00000,-0.01428,1,0.00,-0.57713
1705,0.00000,0.00000,0.01428,1,0.00,0.15469
1710,0.00000,0.00000,0.00000,1,0.00,-0.00338
1715,0.00000,0.00000,-0.02856,1,0.00,-0.65587
1720,0.00000,0.00000,0.00000,1,0.00,0.00515
1725,0.00000,0.00000,0.01428,1,0.00,0.13657
1730,0.00000,0.00000,-0.01428,1,0.00,-0.61524
1735,0.00000,0.00000,-0.01428,1,0.00,-0.60497
1740,0.00000,0.00000,0.02856,1,0.00,0.18566
1745,0.00000,0.00000,-0.01428,1,0.00,-0.60626
1750,0.00000,0.00000,-0.01428,1,0.00,-0.58021
1755,0.00000,0.00000,0.01428,1,0.00,0.15333
1760,0.00000,0.00000,0.00000,1,0.00,-0.00901
1765,0.00000,0.00000,-0.02856,1,0.00,-0.65698
1770,0.00000,0.00000,0.00000,1,0.00,0.00508
1775,0.00000,0.00000,0.00000,1,0.00,-0.55598
1780,0.00000,0.00000,-0.01428,1,0.00,-0.60960
1785,0.00000,0.00000,0.00000,1,0.00,0.09265
1790,0.00000,0.00000,0.02856,1,0.00,0.20185
1795,0.00000,0.00000,0.00000,1,0.00,-0.00115
1800,0.00000,0.00000,-0.01428,1,0.00,-0.58268
1805,0.00000,0.00000,0.01428,1,0.00,0.15520
1810,0.00000,0.00000,0.00000,1,0.00,-0.55490
1815,0.00000,0.00000,-0.02856,1,0.00,-0.66900
1820,0.00000,0.00000,0.01428,1,0.00,0.12760
1825,0.00000,0.00000,0.00000,1,0.00,-0.56995
1830,0.00000,0.00000,-0.01428,1,0.00,-0.62388
1835,0.00000,0.00000,0.00000,1,0.00,0.00240
1840,0.00000,0.00000,0.02856,1,0.00,0.19435
1845,0.00000,0.00000,-0.04284,1,0.00,-0.72735
1850,0.00000,0.00000,-0.02856,1,0.00,-0.63893
1855,0.00000,0.00000,0.00000,1,0.00,0.00906
1860,0.00000,0.00000,0.00000,1,0.00,-0.00908
1865,0.00000,0.00000,-0.02856,1,0.00,-0.65143
1870,0.00000,0.00000,0.00000,1,0.00,0.09007
1875,0.00000,0.00000,0.01428,1,0.00,0.12491
1880,0.00000,0.00000,-0.01428,1,0.00,-0.60456
1885,0.00000,0.00000,-0.01428,1,0.00,-0.59020
1890,0.00000,0.00000,0.02856,1,0.00,0.19797
1895,0.00000,0.00000,0.00000,1,0.00,-0.00192
1900,0.00000,0.00000,-0.01428,1,0.00,-0.57872
1905,0.00000,0.00000,0.01428,1,0.00,0.14974
1910,0.00000,0.00000,0.00000,1,0.00,-0.55717
1915,0.00000,0.00000,-0.02856,1,0.00,-0.66540
1920,0.00000,0.00000,0.01428,1,0.00,0.13031
1925,0.00000,0.00000,0.00000,1,0.00,-0.57349
1930,0.00000,0.00000,-0.01428,1,0.00,-0.61527
1935,0.00000,0.00000,0.00000,1,0.00,-0.00329
1940,0.00000,0.00000,0.02856,1,0.00,0.18108
1945,0.00000,0.00000,-0.01428,1,0.00,-0.61742
1950,0.00000,0.00000,-0.01428,1,0.00,-0.58496
1955,0.00000,0.00000,0.01428,1,0.00,0.12482
1960,0.00000,0.00000,0.00000,1,0.00,-0.56583
1965,0.00000,0.00000,-0.02856,1,0.00,-0.66122
1970,0.00000,0.00000,0.01428,1,0.00,0.15749
1975,0.00000,0.00000,0.00000,1,0.00,0.00976
1980,0.00000,0.00000,0.00000,1,0.00,0.09304
1985,0.00000,0.00000,0.00000,1,0.00,0.11515
1990,0.00000,0.00000,0.02856,1,0.00,0.22070
1995,0.00000,0.00000,-0.01428,1,0.00,-0.59401
2000,0.00000,0.00000,0.00000,1,0.00,0.10371
2005,0.00000,0.00000,0.01428,1,0.00,0.15710
2010,0.00000,0.00000,0.00000,1,0.00,-0.00853
2015,0.00000,0.00000,-0.02856,1,0.00,-0.65601
2020,0.00000,0.00000,0.00000,1,0.00,0.00256
2025,0.00000,0.00000,0.01428,1,0.00,0.11336
2030,0.00000,0.00000,-0.01428,1,0.00,-0.60593
2035,0.00000,0.00000,-0.01428,1,0.00,-0.59383
2040,0.00000,0.00000,0.02856,1,0.00,0.19023
2045,0.00000,0.00000,0.00000,1,0.00,-0.00975
2050,0.00000,0.00000,-0.01428,1,0.00,-0.58061
2055,0.00000,0.00000,0.01428,1,0.00,0.14228
2060,0.00000,0.00000,0.01428,1,0.00,0.12142
2065,0.00000,0.00000,-0.01428,1,0.00,-0.59885
2070,0.00000,0.00000,0.01428,1,0.00,0.14363
2075,0.00000,0.00000,0.00000,1,0.00,-0.55583
2080,0.00000,0.00000,-0.01428,1,0.00,-0.59635
2085,0.00000,0.00000,0.00000,1,0.00,0.00974
