==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
1775,0.00000,0.00000,-0.01428,1,0.00,-0.60406
1780,0.00000,0.00000,0.00000,1,0.00,-0.00259
1785,0.00000,0.00000,0.01428,1,0.00,0.14140
1790,0.00000,0.00000,-0.01428,1,0.00,-0.59004
1795,0.00000,0.00000,-0.01428,1,0.00,-0.59723
1800,0.00000,0.00000,0.00000,1,0.00,-0.55908
1805,0.00000,0.00000,0.00000,1,0.00,-0.55812
1810,0.00000,0.00000,0.00000,1,0.00,-0.55052
1815,0.00000,0.00000,0.01428,1,0.00,0.12160
1820,0.00000,0.00000,0.00000,1,0.00,-0.00787
1825,0.00000,0.00000,0.00000,1,0.00,-0.00161
1830,0.00000,0.00000,0.01428,1,0.00,0.14017
1835,0.00000,0.00000,0.00000,1,0.00,0.00284
1840,0.00000,0.00000,-0.01428,1,0.00,-0.59724
1845,0.00000,0.00000,0.00000,1,0.00,0.00340
1850,0.00000,0.00000,0.00000,1,0.00,-0.00521
1855,0.00000,0.00000,-0.02856,1,0.00,-0.66252
1860,0.00000,0.00000,0.00000,1,0.00,0.00589
1865,0.00000,0.00000,0.00000,1,0.00,0.00157
1870,0.00000,0.00000,0.00000,1,0.00,0.09586
1875,0.00000,0.00000,-0.01428,1,0.00,-0.58450
1880,0.00000,0.00000,0.00000,1,0.00,0.09400
1885,0.00000,0.00000,0.01428,1,0.00,0.13687
1890,0.00000,0.00000,-0.01428,1,0.00,-0.60238
1895,0.00000,0.00000,0.00000,1,0.00,0.00881
1900,0.00000,0.00000,0.01428,1,0.00,0.13650
1905,0.00000,0.00000,-0.01428,1,0.00,-0.60814
1910,0.00000,0.00000,-0.01428,1,0.00,-0.60009
1915,0.00000,0.00000,0.00000,1,0.00,0.00326
1920,0.00000,0.00000,-0.01428,1,0.00,-0.59660
1925,0.00000,0.00000,-0.01428,1,0.00,-0.58727
1930,0.00000,0.00000,0.00000,1,0.00,0.00339
1935,0.00000,0.00000,0.00000,1,0.00,-0.00996
1940,0.00000,0.00000,-0.01428,1,0.00,-0.60427
1945,0.00000,0.00000,0.01428,1,0.00,0.12759
1950,0.00000,0.00000,0.00000,1,0.00,-0.56779
1955,0.00000,0.00000,-0.01428,1,0.00,-0.62261
1960,0.00000,0.00000,-0.01428,1,0.00,-0.60934
1965,0.00000,0.00000,0.00000,1,0.00,-0.56351
1970,0.00000,0.00000,-0.01428,1,0.00,-0.60853
1975,0.00000,0.00000,0.00000,1,0.00,-0.00097
1980,0.00000,0.00000,0.01428,1,0.00,0.14847
1985,0.00000,0.00000,0.01428,1,0.00,0.13861
1990,0.00000,0.00000,-0.01428,1,0.00,-0.59776
1995,0.00000,0.00000,-0.01428,1,0.00,-0.58092
2000,0.00000,0.00000,0.02856,1,0.00,0.19591
2005,0.00000,0.00000,0.00000,1,0.00,-0.00636
2010,0.00000,0.00000,-0.01428,1,0.00,-0.59189
2015,0.00000,0.00000,0.01428,1,0.00,0.13090
2020,0.00000,0.00000,0.00000,1,0.00,-0.55725
2025,0.00000,0.00000,-0.01428,1,0.00,-0.60441
2030,0.00000,0.00000,0.00000,1,0.00,-0.00468
2035,0.00000,0.00000,0.00000,1,0.00,-0.00706
2040,0.00000,0.00000,-0.01428,1,0.00,-0.59184
2045,0.00000,0.00000,-0.01428,1,0.00,-0.58031
2050,0.00000,0.00000,0.01428,1,0.00,0.14267
2055,0.00000,0.00000,0.00000,1,0.00,0.09568
2060,0.00000,0.00000,0.00000,1,0.00,0.09548
2065,0.00000,0.00000,0.00000,1,0.00,0.00227
2070,0.00000,0.00000,0.00000,1,0.00,-0.00761
2075,0.00000,0.00000,-0.01428,1,0.00,-0.59357
2080,0.00000,0.00000,0.00000,1,0.00,0.00311
2085,0.00000,0.00000,0.00000,1,0.00,0.00585
2090,0.00000,0.00000,0.04284,1,0.00,0.26236
2095,0.00000,0.00000,0.00000,1,0.00,0.10021
2100,0.00000,0.00000,0.00000,1,0.00,0.00285
2105,0.00000,0.00000,0.00000,1,0.00,-0.56064
2110,0.00000,0.00000,-0.01428,1,0.00,-0.59420
2115,0.00000,0.00000,0.00000,1,0.00,0.00256
2120,0.00000,0.00000,0.00000,1,0.00,-0.55802
2125,0.00000,0.00000,0.00000,1,0.00,-0.00792
2130,0.00000,0.00000,0.00000,1,0.00,-0.00447
2135,0.00000,0.00000,0.00000,1,0.00,-0.55520
2140,0.00000,0.00000,-0.01428,1,0.00,-0.60987
2145,0.00000,0.00000,0.01428,1,0.00,0.13635
2150,0.00000,0.00000,0.00000,1,0.00,-0.00118
2155,0.00000,0.00000,-0.01428,1,0.00,-0.60337
2160,0.00000,0.00000,-0.02856,1,0.00,-0.64010
2165,0.00000,0.00000,0.00000,1,0.00,0.09794
2170,0.00000,0.00000,0.00000,1,0.00,0.09390
2175,0.00000,0.00000,-0.01428,1,0.00,-0.58801
2180,0.00000,0.00000,0.00000,1,0.00,0.00639
2185,0.00000,0.00000,0.00000,1,0.00,-0.00004
2190,0.00000,0.00000,-0.01428,1,0.00,-0.59385
2195,0.00000,0.00000,-0.01428,1,0.00,-0.60222
2200,0.00000,0.00000,0.00000,1,0.00,0.10293
2205,0.00000,0.00000,-0.01428,1,0.00,-0.59417
2210,0.00000,0.00000,0.01428,1,0.00,0.12258
2215,0.00000,0.00000,0.00000,1,0.00,-0.56126
2220,0.00000,0.00000,0.01428,1,0.00,0.10363
2225,0.00000,0.00000,-0.01428,1,0.00,-0.62462
2230,0.00000,0.00000,0.00000,1,0.00,-0.55887
2235,0.00000,0.00000,0.00000,1,0.00,-0.55531
2240,0.00000,0.00000,0.00000,1,0.00,-0.55018
2245,0.00000,0.00000,0.00000,1,0.00,-0.00342
2250,0.00000,0.00000,0.01428,1,0.00,0.12236
2255,0.00000,0.00000,-0.01428,1,0.00,-0.60177
2260,0.00000,0.00000,0.00000,1,0.00,-0.00192
2265,0.00000,0.00000,0.01428,1,0.00,0.13310
2270,0.00000,0.00000,0.00000,1,0.00,-0.55994
2275,0.00000,0.00000,0.00000,1,0.00,-0.00515
2280,0.00000,0.00000,0.00000,1,0.00,0.09217
2285,0.00000,0.00000,0.01428,1,0.00,0.14597
2290,0.00000,0.00000,-0.01428,1,0.00,-0.58437
2295,0.00000,0.00000,0.00000,1,0.00,0.10010
2300,0.00000,0.00000,0.00000,1,0.00,0.09218
2305,0.00000,0.00000,-0.01428,1,0.00,-0.58978
2310,0.00000,0.00000,-0.01428,1,0.00,-0.58005
2315,0.00000,0.00000,0.00000,1,0.00,0.09153
2320,0.00000,0.00000,0.00000,1,0.00,0.10383
2325,0.00000,0.00000,-0.01428,1,0.00,-0.58162
